scanname,Scan008
1107.9257809999999,489
1109.753784,446
1111.580688,483
1113.4064940000001,486
1115.2310789999999,495
1117.0546879999999,484
1118.877197,513
1120.6982419999999,490
1122.5185550000001,437
1124.337524,446
1126.1553960000001,499
1127.9722899999999,472
1129.787842,489
1131.602539,437
1133.4160159999999,504
1135.2282709999999,437
1137.0395510000001,458
1138.8496090000001,485
1140.6585689999999,473
1142.4664310000001,460
1144.273193,530
1146.0789789999999,465
1147.8836670000001,450
1149.6868899999999,474
1151.48938,486
1153.2905270000001,469
1155.090942,492
1156.889893,459
1158.6876219999999,469
1160.484741,481
1162.2803960000001,495
1164.075073,430
1165.86853,481
1167.660889,518
1169.452393,472
1171.2426760000001,470
1173.0317379999999,444
1174.8199460000001,471
1176.606689,445
1178.3923339999999,444
1180.177246,462
1181.9609379999999,481
1183.7436520000001,433
1185.5251459999999,431
1187.3054199999999,443
1189.0848390000001,461
1190.8630370000001,442
1192.6401370000001,475
1194.415894,463
1196.190918,450
1197.964966,442
1199.737793,495
1201.5095209999999,483
1203.2801509999999,449
1205.049561,472
1206.818115,452
1208.5854489999999,483
1210.3516850000001,447
1212.116943,458
1213.880981,457
1215.644043,459
1217.405884,474
1219.1671140000001,508
1220.9267580000001,448
1222.685547,438
1224.443115,466
1226.199707,469
1227.955322,443
1229.7098390000001,459
1231.4632570000001,472
1233.2154539999999,444
1234.966797,441
1236.7170410000001,469
1238.466064,497
1240.214111,421
1241.9610600000001,459
1243.7070309999999,426
1245.4517820000001,426
1247.1956789999999,486
1248.9384769999999,494
1250.6800539999999,430
1252.4205320000001,451
1254.1601559999999,475
1255.898682,488
1257.6358640000001,452
1259.372314,472
1261.1076660000001,484
1262.841797,474
1264.5751949999999,484
1266.3073730000001,454
1268.038452,484
1269.768311,495
1271.497437,467
1273.2250979999999,483
1274.9522710000001,505
1276.677856,503
1278.4027100000001,468
1280.1264650000001,478
1281.848999,486
1283.5706789999999,465
1285.29126,459
1287.0107419999999,532
1288.7292480000001,447
1290.4467770000001,497
1292.163086,474
1293.878418,483
1295.592529,540
1297.305908,499
1299.0180660000001,485
1300.72937,504
1302.439331,471
1304.1484379999999,475
